"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"تأمين قطع غيار واصلاح أجهزة كشف غازات الدفاع المدني بمنطقة مكة المكرمة","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6HofG*@@**YFACr3z5IGSa*@@**qkw==","2025-11-20","2025-11-23","اصلاح"
"احتياج اصلاح بدن الوسائط وعربات السحب رقم ( تد ٥٢٦٤-ق٢١٢٣) فئة ١٢م-٨،٥م بالمنطقة الشرقية لزوم المظهر ...","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9%20qg77QAm8qX9VFTb4llPQ==","2025-10-31","2025-11-04","اصلاح"
"بشأن اصلاح وتأمين وتركيب قطع غيار سيارة نوع كيا كلاروس موديل 2014 لوحة 4285","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Yaa55S1bIjgBoZx0sLlsHQ==","2025-10-24","2025-10-26","اصلاح"
"بشأن اصلاح وتأمين وتركيب قطع غيار سيارة نوع كيا كلاروس موديل 2014 لوحة 5581","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=RNWLKPCNarppr%20FFfIgbfg==","2025-10-24","2025-10-26","اصلاح"
"بشأن اصلاح وتأمين وتركيب قطع غيار سيارة نوع تويوتا فورتشنر موديل 2014 لوحة 7730","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=832r6xX8X%20q6TqJVqKnQwA==","2025-10-24","2025-10-26","اصلاح"
"بشأن اصلاح وتأمين وتركيب قطع غيار سيارة نوع ايسوزو شاحنة موديل 2018 لوحة 6936","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8ml0pCMN6rFrB9vyrTM*@@**hQ==","2025-10-24","2025-10-26","اصلاح"
"صيانة واصلاح مظلات مواقف السيارات لمكافحة المخدرات بمنطقة الباحة","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=SpgSiTslKpQTwfreKxVUcA==","2025-10-24","2025-10-26","اصلاح"
"اصلاح حادث للمركبة من نوع راف فور موديل /2018 لوحة ( رقم د ص ك 9208)","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=LwdINGPgoIycFLp4qHXOtA==","2025-10-26","2025-10-28","اصلاح"
"اصلاح حادث للمركبة من نوع لاند كروزر موديل 2009 لوحة رقم (ح و ر 4972)","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=DPSNAr1Tp7aA8KilK%20peyg==","2025-10-26","2025-10-28","اصلاح"
"صيانة الأجهزة الطبية بمستشفى جامعة الإمام عبد الرحمن بن فيصل","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1cX0xwUiWj4nw1VKlxTvTg==","2025-11-23","2025-12-07","اصلاح"
"صيانة الأجهزة الطبية بمستشفى الملك فهد الجامعي بالخبر","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ZL1fYOe4xW5z4AFnORdI2w==","2025-11-23","2025-12-08","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=2SpEEX2q3urVpkA*@@**sSm%204w==","2025-10-24","2025-10-26","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6licCAumzQ3X3Qzwot45ag==","2025-10-24","2025-10-26","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mYFHu0kAPo057ssybGP2Tg==","2025-10-28","2025-10-30","اصلاح"
"تأمين قطع غيار واصلاح أجهزة كشف غازات الدفاع المدني بمنطقة مكة المكرمة","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BKmTQh8k9dvxknVmYsKslw==","2025-11-16","2025-11-16","اصلاح"
"تامين قطع غيار واصلاح معدات فنية لمديرية الدفاع المدني بمنطقة مكة المكرمة","2025-10-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Zvye8ljETl10vII6akUxRw==","2025-10-28","2025-10-30","اصلاح"
"طقم اصلاح مع بطارية لجهاز التنفس PHILIPS V60","2025-10-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jMWdYDQDDnST7KLzhPmLVg==","2025-10-22","2025-10-25","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-10-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KexEpS77lIiOy29VNPTOIw==","2025-10-23","2025-10-25","اصلاح"
"اعمال اصلاح وصيانة لمبنى الدفاع المدني بالقوارة","2025-10-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=PmqK9JyULPfvRIg0vv2f*@@**A==","2025-10-25","2025-11-03","اصلاح"
